2025-02-09 19:33:09,686 INFO [DailyTrainer] run_daily_training => start
2025-02-09 19:33:22,926 INFO [DailyTrainer] AI training => UNI
2025-02-09 19:33:22,979 INFO [AITrain] UNI => ep=0, loss=126.903297
2025-02-09 19:33:23,040 INFO [AITrain] UNI => ep=1, loss=106.422646
2025-02-09 19:33:23,087 INFO [AITrain] UNI => ep=2, loss=101.156006
2025-02-09 19:33:23,153 INFO [AITrain] UNI => ep=3, loss=94.119324
2025-02-09 19:33:23,196 INFO [AITrain] UNI => ep=4, loss=67.635460
2025-02-09 19:33:23,261 INFO [AITrain] UNI => ep=5, loss=102.503639
2025-02-09 19:33:23,306 INFO [AITrain] UNI => ep=6, loss=77.491508
2025-02-09 19:33:23,371 INFO [AITrain] UNI => ep=7, loss=64.666420
2025-02-09 19:33:23,416 INFO [AITrain] UNI => ep=8, loss=67.068237
2025-02-09 19:33:23,480 INFO [AITrain] UNI => ep=9, loss=46.562042
2025-02-09 19:33:23,480 INFO [AITrain] UNI => saved model => ai_models\ai_UNI.pt
2025-02-09 19:33:23,480 INFO [DailyTrainer] AI training => RENDER
2025-02-09 19:33:23,540 INFO [AITrain] RENDER => ep=0, loss=28.329042
2025-02-09 19:33:23,609 INFO [AITrain] RENDER => ep=1, loss=25.841581
2025-02-09 19:33:23,651 INFO [AITrain] RENDER => ep=2, loss=18.850519
2025-02-09 19:33:23,715 INFO [AITrain] RENDER => ep=3, loss=17.504530
2025-02-09 19:33:23,760 INFO [AITrain] RENDER => ep=4, loss=12.307534
2025-02-09 19:33:23,827 INFO [AITrain] RENDER => ep=5, loss=13.599193
2025-02-09 19:33:23,869 INFO [AITrain] RENDER => ep=6, loss=10.139018
2025-02-09 19:33:23,931 INFO [AITrain] RENDER => ep=7, loss=6.489794
2025-02-09 19:33:23,993 INFO [AITrain] RENDER => ep=8, loss=3.365812
2025-02-09 19:33:24,052 INFO [AITrain] RENDER => ep=9, loss=4.503700
2025-02-09 19:33:24,053 INFO [AITrain] RENDER => saved model => ai_models\ai_RENDER.pt
2025-02-09 19:33:24,056 INFO [DailyTrainer] AI training => PEPE
2025-02-09 19:33:24,120 INFO [AITrain] PEPE => ep=0, loss=0.001176
2025-02-09 19:33:24,171 INFO [AITrain] PEPE => ep=1, loss=0.000017
2025-02-09 19:33:24,235 INFO [AITrain] PEPE => ep=2, loss=0.000002
2025-02-09 19:33:24,290 INFO [AITrain] PEPE => ep=3, loss=0.000008
2025-02-09 19:33:24,337 INFO [AITrain] PEPE => ep=4, loss=0.000011
2025-02-09 19:33:24,400 INFO [AITrain] PEPE => ep=5, loss=0.000000
2025-02-09 19:33:24,447 INFO [AITrain] PEPE => ep=6, loss=0.000000
2025-02-09 19:33:24,510 INFO [AITrain] PEPE => ep=7, loss=0.000000
